"Search Criteria: "

"Filing Operator:",,,"APACHE CORPORATION (027200)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2016",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,03,27088,"GIDDINGS (EAGLEFORD)",KIMBER,,,,434,"4,180","4,379","   01  ",235,"15,964","15,964","   02  "
Y,Oil,03,27116,"GIDDINGS (EAGLEFORD)","WALKER FAMILY",,,,"1,621","10,359","10,745","   01  ","1,235","51,285","51,152","   02  "
,,,,,,,,,,,,,,,133,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,03,27120,"GIDDINGS (EAGLEFORD)",REMINGTON,,,,1,0,1,"   01  ",0,0,,
,Gas,03,242983,"GIDDINGS (EAGLEFORD)","BOULDEN, F.","    1  ",,,39,12,,,51,99,99,"   02  "
Y,Gas,03,280587,"GIDDINGS (EAGLEFORD)","WALKER FAMILY","    1H ",,,0,0,,,0,0,,
Y,Gas,03,280611,"GIDDINGS (EAGLEFORD)",RODGERS,"    1H ",,5507,126,"2,500","2,496","   01  ",130,"23,495",157,"   01  "
,,,,,,,,,,,,,,,"23,328","   02  "
,,,,,,,,,,,,,,,10,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Gas,03,280858,"GIDDINGS (EAGLEFORD)","MCCULLOUGH-WINEMAN EF","    3H ",,5492,371,"3,055","3,032","   01  ",394,"11,377",483,"   01  "
,,,,,,,,,,,,,,,"10,894","   02  "
Y,Gas,03,281041,"GIDDINGS (EAGLEFORD)","MCCULLOUGH-WINEMAN EF","    5H ",,5492,226,"1,776","1,773","   01  ",229,"6,752",287,"   01  "
,,,,,,,,,,,,,,,"6,465","   02  "
Y,Gas,03,281287,"GIDDINGS (EAGLEFORD)","MILES UNIT","    1H ",,,N/A,"2,278","2,160","   01  ",118,"8,791",24,"   01  "
,,,,,,,,,,,,,,,"8,766","   02  "
,,,,,,,,,,,,,,,1,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Gas,03,281323,"GIDDINGS (EAGLEFORD)",RODGERS,"    3H ",,5507,158,"4,962","4,862","   01  ",258,"34,309",230,"   01  "
,,,,,,,,,,,,,,,"34,064","   02  "
,,,,,,,,,,,,,,,15,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Gas,03,281657,"GIDDINGS (EAGLEFORD)","GOEN FAMILY","    2H ",,5507,217,"6,377","6,263","   01  ",331,"37,162",92,"   01  "
,,,,,,,,,,,,,,,"37,068","   02  "
,,,,,,,,,,,,,,,2,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Gas,03,281724,"GIDDINGS (EAGLEFORD)","MILES UNIT","    2H ",,,N/A,"2,545","2,413","   01  ",132,"9,941",26,"   01  "
,,,,,,,,,,,,,,,"9,914","   02  "
,,,,,,,,,,,,,,,1,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Gas,03,236190,"GIDDINGS, SOUTH (EAGLEFORD)","SANTE FE ""A""","    2  ",,,51,0,,,51,0,,
,Gas,03,241432,"GIDDINGS, SOUTH (EAGLEFORD)","SANTA FE A","    1  ",,,4,0,,,4,0,,
,Gas,03,161961,"GIDDINGS (AUSTIN CHALK, GAS)","MAGEE, HENRY G. ET AL","    1  ",,,59,106,98,"   01  ",67,"2,252",754,"   01  "
,,,,,,,,,,,,,,,"1,498","   02  "
,Gas,03,212077,"GIDDINGS (AUSTIN CHALK, GAS)","SEBESTA, CHARLES J. ""B"" UNIT","    2  ",,,117,0,,,117,11,11,"   02  "
,Gas,03,232220,"GIDDINGS (AUSTIN CHALK, GAS)","SANTA FE ""A""","    2  ",,,0,0,,,0,0,,
,Gas,03,234137,"GIDDINGS (AUSTIN CHALK, GAS)","SANTA FE ""B"" UNIT","    1  ",,,0,0,,,0,0,,
,Oil,03,20673,"KURTEN (BUDA)","SKRIVANEK, JOSEPH J. JR.",,,6913,71,251,257,"   01  ",65,597,597,"   02  "
,Gas,03,142124,"LYONS (GEORGETOWN)","GIESENSCHLAG-GROCE GAS UNIT","    1  ",,,121,4,,,125,408,408,"   02  "
,Gas,03,142219,"LYONS (GEORGETOWN)","GIESENSCHLAG ""C"" GAS UNIT","    2H ",,,139,42,,,181,"1,124",130,"   01  "
,,,,,,,,,,,,,,,994,"   02  "
,Gas,03,142758,"LYONS (GEORGETOWN)","PORTER, L. GAS UNIT","    1H ",,,201,28,167,"   01  ",62,895,895,"   02  "
,Gas,03,144267,"LYONS (GEORGETOWN)","SEBESTA, G.A.GEORGETOWN GAS UNIT","   1 H ",,,121,8,117,"   01  ",12,0,,
,Gas,03,145090,"LYONS (GEORGETOWN)","KNOLLE GEORGETOWN G.U.","    1H ",,,157,46,,,203,363,75,"   01  "
,,,,,,,,,,,,,,,288,"   02  "
,Oil,03,26041,"MADISONVILLE, W. (WOODBINE -A-)",HOGUE,,,,202,543,553,"   01  ",192,"4,638",754,"   01  "
,,,,,,,,,,,,,,,"3,120","   02  "
,,,,,,,,,,,,,,,764,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,03,26127,"MADISONVILLE, W. (WOODBINE -A-)","STEVENS UNIT",,,,176,385,386,"   01  ",175,"1,406",696,"   01  "
,,,,,,,,,,,,,,,710,"   02  "
,Oil,03,02871,"MAGNET WITHERS",BROUSSARD-HANCOCK-STOVALL,,,8530,0,0,,,0,0,,
,Oil,03,02874,"MAGNET WITHERS","COCKBURN, H. C. ETAL -B-",,,6683,0,0,,,0,0,,
Y,Oil,03,02877,"MAGNET WITHERS",DICE-BAIN,,,8530,90,855,848,"   01  ",97,"1,279","1,279","   01  "
Y,Oil,03,02879,"MAGNET WITHERS",FOLEY-BROUSSARD,,,8530,31,262,263,"   01  ",30,591,591,"   01  "
,Oil,03,02881,"MAGNET WITHERS","FRANZ, J. H.",,,6683,304,362,454,"   01  ",212,0,,
,Oil,03,02884,"MAGNET WITHERS",HENNESSEY-DEACON,,,8530,0,0,,,0,0,,
Y,Oil,03,02885,"MAGNET WITHERS","JORDAN, MINA",,,8530,32,273,274,"   01  ",31,608,608,"   01  "
,Oil,03,02890,"MAGNET WITHERS",NORRIS,,,6683,0,0,,,0,0,,
Y,Oil,03,02892,"MAGNET WITHERS",SHELL-BROUSSARD,,,8530,83,757,754,"   01  ",86,"1,033","1,033","   01  "
Y,Oil,03,02909,"MAGNET WITHERS","BROUSSARD, J. E. NCT-1",,,,448,"3,691","3,535","   00  ",604,"6,021","4,482","   01  "
,,,,,,,,,,,,,,,"1,539","   02  "
Y,Oil,03,02912,"MAGNET WITHERS","THOMPSON, A. C. -A-",,,8530,14,157,153,"   01  ",18,20,20,"   01  "
Y,Oil,03,02915,"MAGNET WITHERS",BANN-OLIPHANT,,,8530,165,"1,329","1,344","   01  ",150,576,576,"   01  "
Y,Oil,03,06715,"MAGNET WITHERS","PIERCE ESTATES",,,0776,681,"9,549","9,154","   01  ","1,076","27,118","14,624","   01  "
,,,,,,,,,,,,,,,"12,494","   02  "
Y,Oil,03,10160,"MAGNET WITHERS",LEHMBERG-COFFEY,,,8530,10,112,109,"   01  ",13,470,470,"   01  "
Y,Oil,03,20001,"MAGNET WITHERS",MACOMBER-BROUSSARD,,,8530,31,200,208,"   01  ",23,931,931,"   01  "
Y,Oil,03,20327,"MAGNET WITHERS","BROUSSARD TRUST",,,8530,119,875,895,"   01  ",99,"1,303","1,303","   01  "
Y,Oil,03,20838,"MAGNET WITHERS",WORTHINGTON-BROUSSARD,,,8530,82,708,710,"   01  ",80,"1,170","1,170","   01  "
Y,Oil,03,21833,"MAGNET WITHERS","BEMENT BROUSSARD",,,8530,140,"1,300","1,293","   01  ",147,"1,793","1,793","   01  "
,Gas,03,156044,"MAGNET WITHERS","BROUSSARD, J. E.","   55  ",,,0,0,,,0,0,,
Y,Gas,03,280188,"MAGNET WITHERS","PIERCE ESTATE"," B151  ",,,0,0,,,0,0,,
,Gas,03,272433,"MAGNET WITHERS (F- 2)","PIERCE ESTATE"," B168  ",,,0,0,,,0,0,,
,Gas,03,263601,"MAGNET WITHERS (F-5)","PIERCE ESTATE"," C247  ",,,0,0,,,0,0,,
,Gas,03,263376,"MAGNET WITHERS (F- 7)","PIERCE ESTATE"," B159  ",,,0,0,,,0,0,,
Y,Oil,03,26731,"MAGNET WITHERS (F- 8)","PIERCE ESTATE",,,,0,0,,,0,"1,476",571,"   01  "
,,,,,,,,,,,,,,,905,"   02  "
Y,Gas,03,280721,"MAGNET WITHERS (F- 8)","PIERCE ESTATE"," B158  ",,,0,0,,,0,"1,535",549,"   01  "
,,,,,,,,,,,,,,,986,"   02  "
